Model,basis,point,lo,hi,spans_100,n_boot
arima,common z (95% target),191.3,126.9,269.1,False,1000
arima,matched achieved fill 0.98,128.3,93.3,214.8,True,1000
croston,common z (95% target),218.8,137.3,357.3,False,1000
croston,matched achieved fill 0.98,149.1,106.3,297.8,False,1000
hybrid,common z (95% target),218.7,129.3,337.2,False,1000
hybrid,matched achieved fill 0.98,165.2,100.8,339.8,False,1000
mitra,common z (95% target),100.0,100.0,100.0,True,1000
mitra,matched achieved fill 0.98,100.0,100.0,100.0,True,1000
naive,common z (95% target),388.4,288.0,501.5,False,1000
naive,matched achieved fill 0.98,250.3,203.0,417.5,False,1000
rf,common z (95% target),232.7,151.3,341.4,False,1000
rf,matched achieved fill 0.98,124.7,87.6,277.9,True,1000
sba,common z (95% target),198.8,127.8,334.2,False,1000
sba,matched achieved fill 0.98,152.4,105.9,289.0,False,1000
ses,common z (95% target),165.1,115.9,228.8,False,1000
ses,matched achieved fill 0.98,109.4,80.9,218.6,True,1000
tsb,common z (95% target),188.3,121.5,268.6,False,1000
tsb,matched achieved fill 0.98,124.5,82.7,267.6,True,1000
xgb,common z (95% target),103.6,86.4,143.7,True,1000
xgb,matched achieved fill 0.98,106.4,72.2,177.6,True,1000
