Unit,Model,bias,sd,rms,n
BR_1.0-1.5,arima,-58353.3938867432,84527.01269985612,98269.18372291402,8
BR_1.0-1.5,croston,-45218.764982152454,77421.67132712176,85379.08115405316,8
BR_1.0-1.5,hybrid,-48647.02160644531,54844.136371575165,70699.55511690932,8
BR_1.0-1.5,mitra,-94780.20833333334,59717.55236333667,110016.82005241037,8
BR_1.0-1.5,naive,9396.875,191433.50647040232,179316.03451553071,8
BR_1.0-1.5,rf,-11862.938749999998,45582.73699181411,44258.24204024644,8
BR_1.0-1.5,sba,-54995.79548304484,76519.18427585192,90265.30279002257,8
BR_1.0-1.5,ses,-43716.100740852446,83269.5445914848,89320.69966361928,8
BR_1.0-1.5,tsb,-32304.357270538425,79281.25298877429,80891.27851442865,8
BR_1.0-1.5,xgb,-202515.28175067902,43117.00434951975,206492.4475583159,8
BR_1.7-2.2,arima,-13623.181523908192,34130.72673201761,34711.44290694435,8
BR_1.7-2.2,croston,-5969.192987737006,28434.538740103988,27259.656713117532,8
BR_1.7-2.2,hybrid,-139982.8557434082,39774.194090224,144842.80480288202,8
BR_1.7-2.2,mitra,-54158.333333333314,25889.541290148147,59326.30002058061,8
BR_1.7-2.2,naive,3159.375,202184.2379125234,189152.42386267483,8
BR_1.7-2.2,rf,-23134.775,39541.39500107885,43626.82079985946,8
BR_1.7-2.2,sba,-20369.79583835017,28208.739385988203,33334.59071331677,8
BR_1.7-2.2,ses,-19528.39033201446,32902.268148186115,36449.9296582691,8
BR_1.7-2.2,tsb,-6354.807496028501,32525.988274019408,31081.843612678804,8
BR_1.7-2.2,xgb,-266942.18437576294,19177.561603979084,267544.26981294877,8
BR_2.1-2.6,arima,7043.098318120625,77745.02873032137,73064.07146924127,8
BR_2.1-2.6,croston,-13320.177951138328,76857.30165948797,73116.97037439622,8
BR_2.1-2.6,hybrid,-86161.08740234375,77597.34173967165,112660.60534536811,8
BR_2.1-2.6,mitra,-100100.0,60932.51646288704,115189.77870100932,8
BR_2.1-2.6,naive,-37537.5,264839.7062375655,250562.6172361911,8
BR_2.1-2.6,rf,-21431.118749999994,81233.53739199336,78951.37426568924,8
