matched_fill,Model,cost_index,z_used,feasible
0.95,arima,133.1,0.5,True
0.95,croston,170.1,0.7,True
0.95,hybrid,165.7,0.6,True
0.95,mitra,100.0,1.1,True
0.95,naive,288.7,0.5,True
0.95,rf,130.1,0.3,True
0.95,sba,152.3,0.6,True
0.95,ses,122.3,0.7,True
0.95,tsb,123.7,0.4,True
0.95,xgb,115.7,1.5,True
0.97,arima,134.9,0.7,True
0.97,croston,158.1,0.7,True
0.97,hybrid,166.0,0.8,True
0.97,mitra,100.0,1.3,True
0.97,naive,278.8,0.6,True
0.97,rf,127.0,0.4,True
0.97,sba,156.0,0.8,True
0.97,ses,113.6,0.7,True
0.97,tsb,122.5,0.6,True
0.97,xgb,107.5,1.5,True
0.98,arima,128.3,0.8,True
0.98,croston,149.1,0.8,True
0.98,hybrid,165.2,1.0,True
0.98,mitra,100.0,1.5,True
0.98,naive,250.3,0.6,True
0.98,rf,124.7,0.5,True
0.98,sba,152.4,1.0,True
0.98,ses,109.4,0.8,True
0.98,tsb,124.5,0.8,True
0.98,xgb,106.4,1.6,True
0.99,arima,124.5,1.0,True
0.99,croston,142.7,1.0,True
0.99,hybrid,187.6,1.5,True
0.99,mitra,100.0,1.8,True
0.99,naive,268.6,1.0,True
0.99,rf,152.1,1.0,True
0.99,sba,139.3,1.1,True
0.99,ses,121.1,1.2,True
0.99,tsb,137.7,1.2,True
0.99,xgb,109.6,1.8,True
