Unit,Model,SL,z,ratio,lots,markup,term_k,eval_end,last_decision,fill_rate,cycle_service,avg_oh,avg_bl,total_cost,demand_2024,end_oh,end_pipe
BR_1.0-1.5,arima,0.9,1.2816,2,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,171483.70406407514,0.0,1886320.7447048265,500275.0,248938.2495186206,0.0
BR_1.0-1.5,arima,0.9,1.2816,5,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,171483.70406407514,0.0,1886320.7447048265,500275.0,248938.2495186206,0.0
BR_1.0-1.5,arima,0.9,1.2816,10,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,171483.70406407514,0.0,1886320.7447048265,500275.0,248938.2495186206,0.0
BR_1.0-1.5,arima,0.9,1.2816,20,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,171483.70406407514,0.0,1886320.7447048265,500275.0,248938.2495186206,0.0
BR_1.0-1.5,arima,0.9,1.2816,50,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,171483.70406407514,0.0,1886320.7447048265,500275.0,248938.2495186206,0.0
BR_1.0-1.5,arima,0.9,1.2816,10,False,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,156651.45572015384,0.0,1723166.0129216923,500275.0,229474.5131000398,0.0
BR_1.0-1.5,arima,0.95,1.6449,2,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,216528.07406808806,0.0,2381808.8147489685,500275.0,284882.6195226335,0.0
BR_1.0-1.5,arima,0.95,1.6449,5,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,216528.07406808806,0.0,2381808.8147489685,500275.0,284882.6195226335,0.0
BR_1.0-1.5,arima,0.95,1.6449,10,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,216528.07406808806,0.0,2381808.8147489685,500275.0,284882.6195226335,0.0
BR_1.0-1.5,arima,0.95,1.6449,20,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,216528.07406808806,0.0,2381808.8147489685,500275.0,284882.6195226335,0.0
BR_1.0-1.5,arima,0.95,1.6449,50,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,216528.07406808806,0.0,2381808.8147489685,500275.0,284882.6195226335,0.0
BR_1.0-1.5,arima,0.95,1.6449,10,False,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,203558.6415923179,0.0,2239145.057515497,500275.0,272677.5498951842,0.0
BR_1.0-1.5,arima,0.98,2.0537,2,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,265214.9952286728,0.0,2917364.947515401,500275.0,322194.5406832183,0.0
BR_1.0-1.5,arima,0.98,2.0537,5,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,265214.9952286728,0.0,2917364.947515401,500275.0,322194.5406832183,0.0
BR_1.0-1.5,arima,0.98,2.0537,10,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,265214.9952286728,0.0,2917364.947515401,500275.0,322194.5406832183,0.0
BR_1.0-1.5,arima,0.98,2.0537,20,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,265214.9952286728,0.0,2917364.947515401,500275.0,322194.5406832183,0.0
BR_1.0-1.5,arima,0.98,2.0537,50,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,265214.9952286728,0.0,2917364.947515401,500275.0,322194.5406832183,0.0
BR_1.0-1.5,arima,0.98,2.0537,10,False,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,257559.36682552018,0.0,2833153.035080722,500275.0,321291.37164540443,0.0
BR_1.0-1.5,croston,0.9,1.2816,2,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,148831.13042972272,0.0,1637142.4347269498,500275.0,203535.67588426813,0.0
BR_1.0-1.5,croston,0.9,1.2816,5,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,148831.13042972272,0.0,1637142.4347269498,500275.0,203535.67588426813,0.0
BR_1.0-1.5,croston,0.9,1.2816,10,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,148831.13042972272,0.0,1637142.4347269498,500275.0,203535.67588426813,0.0
BR_1.0-1.5,croston,0.9,1.2816,20,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,148831.13042972272,0.0,1637142.4347269498,500275.0,203535.67588426813,0.0
BR_1.0-1.5,croston,0.9,1.2816,50,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,148831.13042972272,0.0,1637142.4347269498,500275.0,203535.67588426813,0.0
BR_1.0-1.5,croston,0.9,1.2816,10,False,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,140059.74033210974,0.0,1540657.143653207,500275.0,199988.40872905776,0.0
BR_1.0-1.5,croston,0.95,1.6449,2,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,192553.17447041397,0.0,2118084.919174554,500275.0,258632.71992495947,0.0
BR_1.0-1.5,croston,0.95,1.6449,5,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,192553.17447041397,0.0,2118084.919174554,500275.0,258632.71992495947,0.0
BR_1.0-1.5,croston,0.95,1.6449,10,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,192553.17447041397,0.0,2118084.919174554,500275.0,258632.71992495947,0.0
BR_1.0-1.5,croston,0.95,1.6449,20,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,192553.17447041397,0.0,2118084.919174554,500275.0,258632.71992495947,0.0
BR_1.0-1.5,croston,0.95,1.6449,50,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,192553.17447041397,0.0,2118084.919174554,500275.0,258632.71992495947,0.0
BR_1.0-1.5,croston,0.95,1.6449,10,False,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,179505.7646578245,0.0,1974563.4112360696,500275.0,235139.35447812243,0.0
BR_1.0-1.5,croston,0.98,2.0537,2,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,237766.46680136534,0.0,2615431.1348150186,500275.0,292471.0122559108,0.0
BR_1.0-1.5,croston,0.98,2.0537,5,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,237766.46680136534,0.0,2615431.1348150186,500275.0,292471.0122559108,0.0
BR_1.0-1.5,croston,0.98,2.0537,10,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,237766.46680136534,0.0,2615431.1348150186,500275.0,292471.0122559108,0.0
BR_1.0-1.5,croston,0.98,2.0537,20,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,237766.46680136534,0.0,2615431.1348150186,500275.0,292471.0122559108,0.0
BR_1.0-1.5,croston,0.98,2.0537,50,True,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,237766.46680136534,0.0,2615431.1348150186,500275.0,292471.0122559108,0.0
BR_1.0-1.5,croston,0.98,2.0537,10,False,-1.0,0.0,2024-11-01,2024-07-01,1.0,1.0,223892.04251180802,0.0,2462812.467629888,500275.0,274692.6344732165,0.0
