required_fill,Model,cost_index,z_used,achieved_fill,achieved_cycle_service,cost_index_exact_match,feasible
0.95,ARIMA,133.1,0.5,0.961,0.875,133.9,True
0.95,Croston,170.1,0.7,0.973,0.875,167.5,True
0.95,Hybrid cls-reg,165.7,0.6,0.952,0.875,162.8,True
0.95,Partner annual,100.0,1.1,0.961,0.891,100.0,True
0.95,Naive,288.7,0.5,0.957,0.906,285.5,True
0.95,Random Forest,130.1,0.3,0.97,0.891,129.7,True
0.95,SBA,152.3,0.6,0.956,0.844,150.5,True
0.95,SES,122.3,0.7,0.979,0.859,124.5,True
0.95,TSB,123.7,0.4,0.958,0.844,120.6,True
0.95,XGBoost (Tweedie),115.7,1.5,0.979,0.906,115.8,True
0.97,ARIMA,134.9,0.7,0.979,0.891,128.3,True
0.97,Croston,158.1,0.7,0.973,0.875,153.6,True
0.97,Hybrid cls-reg,166.0,0.8,0.976,0.891,152.8,True
0.97,Partner annual,100.0,1.3,0.976,0.906,100.0,True
0.97,Naive,278.8,0.6,0.983,0.922,265.8,True
0.97,Random Forest,127.0,0.4,0.979,0.922,117.7,True
0.97,SBA,156.0,0.8,0.972,0.859,150.1,True
0.97,SES,113.6,0.7,0.979,0.859,112.0,True
0.97,TSB,122.5,0.6,0.976,0.906,118.2,True
0.97,XGBoost (Tweedie),107.5,1.5,0.979,0.906,104.6,True
0.98,ARIMA,128.3,0.8,0.982,0.891,133.2,True
0.98,Croston,149.1,0.8,0.98,0.875,160.0,True
0.98,Hybrid cls-reg,165.2,1.0,0.981,0.938,172.8,True
0.98,Partner annual,100.0,1.5,0.988,0.938,100.0,True
0.98,Naive,250.3,0.6,0.983,0.922,268.4,True
0.98,Random Forest,124.7,0.5,0.981,0.938,127.3,True
0.98,SBA,152.4,1.0,0.985,0.922,157.3,True
0.98,SES,109.4,0.8,0.985,0.891,110.5,True
0.98,TSB,124.5,0.8,0.983,0.906,128.3,True
0.98,XGBoost (Tweedie),106.4,1.6,0.984,0.938,114.1,True
0.99,ARIMA,124.5,1.0,0.992,0.938,127.6,True
0.99,Croston,142.7,1.0,0.991,0.938,147.6,True
0.99,Hybrid cls-reg,187.6,1.5,0.991,0.969,193.4,True
0.99,Partner annual,100.0,1.8,1.0,0.984,100.0,True
0.99,Naive,268.6,1.0,0.992,0.984,267.3,True
0.99,Random Forest,152.1,1.0,0.991,0.969,152.7,True
0.99,SBA,139.3,1.1,0.992,0.938,143.5,True
0.99,SES,121.1,1.2,0.991,0.922,123.0,True
0.99,TSB,137.7,1.2,0.99,0.969,144.6,True
0.99,XGBoost (Tweedie),109.6,1.8,0.993,0.953,106.2,True
