schedule,term_k,Model,cost_index,cost_index_median_unit,agg_fill,fill_median,cycle_service_median,MASE_median,MASE5_median,customMAPE_median
yearly,0.0,rf,232.7,204.0,0.998,1.0,1.0,0.603,0.392,80.6
yearly,0.0,xgb,103.6,88.6,0.981,1.0,1.0,0.537,0.38,90.5
yearly,0.0,hybrid,218.7,174.9,0.992,1.0,1.0,0.586,0.377,88.0
yearly,2.5,rf,219.0,207.2,0.998,1.0,1.0,0.603,0.392,80.6
yearly,2.5,xgb,116.0,92.9,0.981,1.0,1.0,0.537,0.38,90.5
yearly,2.5,hybrid,201.2,169.0,0.992,1.0,1.0,0.586,0.377,88.0
every_origin,0.0,rf,211.4,204.3,1.0,1.0,1.0,0.744,0.375,83.5
every_origin,0.0,xgb,109.4,92.1,0.992,1.0,1.0,0.503,0.353,90.8
every_origin,0.0,hybrid,207.4,213.8,0.997,1.0,1.0,0.653,0.363,87.4
every_origin,2.5,rf,200.2,202.1,1.0,1.0,1.0,0.744,0.375,83.5
every_origin,2.5,xgb,121.6,91.4,0.992,1.0,1.0,0.503,0.353,90.8
every_origin,2.5,hybrid,193.3,200.0,0.997,1.0,1.0,0.653,0.363,87.4
