Unit,metric,rho,w,segment
BR_1.0-1.5,MASE,0.06666666666666665,29524.418604651164,intermittent
BR_1.0-1.5,RMSSE,0.06666666666666665,29524.418604651164,intermittent
BR_1.0-1.5,MASE5,0.006060606060606061,29524.418604651164,intermittent
BR_1.0-1.5,customMAPE,-0.0303030303030303,29524.418604651164,intermittent
BR_1.7-2.2,MASE,0.04242424242424241,71978.48837209302,smooth
BR_1.7-2.2,RMSSE,0.006060606060606061,71978.48837209302,smooth
BR_1.7-2.2,MASE5,0.006060606060606061,71978.48837209302,smooth
BR_1.7-2.2,customMAPE,0.22424242424242422,71978.48837209302,smooth
BR_2.1-2.6,MASE,0.3696969696969697,109411.62790697675,erratic
BR_2.1-2.6,RMSSE,0.12727272727272726,109411.62790697675,erratic
BR_2.1-2.6,MASE5,-0.22424242424242422,109411.62790697675,erratic
BR_2.1-2.6,customMAPE,0.5030303030303029,109411.62790697675,erratic
BR_2.6-3.1,MASE,0.32121212121212117,13967.441860465116,lumpy
BR_2.6-3.1,RMSSE,0.9393939393939393,13967.441860465116,lumpy
BR_2.6-3.1,MASE5,0.8545454545454544,13967.441860465116,lumpy
BR_2.6-3.1,customMAPE,-0.9272727272727272,13967.441860465116,lumpy
BR_3.1-3.6,MASE,0.33333333333333326,9311.627906976744,intermittent
BR_3.1-3.6,RMSSE,0.6606060606060605,9311.627906976744,intermittent
BR_3.1-3.6,MASE5,0.29696969696969694,9311.627906976744,intermittent
BR_3.1-3.6,customMAPE,-0.23636363636363633,9311.627906976744,intermittent
BR_3.5,MASE,0.7939393939393938,6983.720930232558,intermittent
BR_3.5,RMSSE,-0.01818181818181818,6983.720930232558,intermittent
BR_3.5,MASE5,0.18787878787878787,6983.720930232558,intermittent
BR_3.5,customMAPE,-0.6242424242424242,6983.720930232558,intermittent
ST_A3.50in,MASE,0.6969696969696969,629.7674418604652,lumpy
ST_A3.50in,RMSSE,0.11515151515151514,629.7674418604652,lumpy
ST_A3.50in,MASE5,-0.24848484848484845,629.7674418604652,lumpy
ST_A3.50in,customMAPE,-0.6969696969696969,629.7674418604652,lumpy
ST_A4-6cm,MASE,0.7212121212121211,697.6744186046511,intermittent
ST_A4-6cm,RMSSE,-0.18787878787878787,697.6744186046511,intermittent
ST_A4-6cm,MASE5,0.8545454545454544,697.6744186046511,intermittent
ST_A4-6cm,customMAPE,-0.19999999999999998,697.6744186046511,intermittent
ST_Reg3-4cm,MASE,0.8206724839680872,581.3953488372093,intermittent
ST_Reg3-4cm,RMSSE,0.9179373709568976,581.3953488372093,intermittent
ST_Reg3-4cm,MASE5,0.8449887057152897,581.3953488372093,intermittent
ST_Reg3-4cm,customMAPE,0.6461522964751135,581.3953488372093,intermittent
ST_Reg3.50in,MASE,0.5515151515151515,3650.232558139535,intermittent
ST_Reg3.50in,RMSSE,0.01818181818181818,3650.232558139535,intermittent
ST_Reg3.50in,MASE5,0.10303030303030303,3650.232558139535,intermittent
ST_Reg3.50in,customMAPE,-0.6606060606060605,3650.232558139535,intermittent
ST_Reg4.00in,MASE,0.8424242424242423,4349.767441860465,intermittent
ST_Reg4.00in,RMSSE,0.4545454545454545,4349.767441860465,intermittent
ST_Reg4.00in,MASE5,0.05454545454545454,4349.767441860465,intermittent
ST_Reg4.00in,customMAPE,0.38181818181818183,4349.767441860465,intermittent
ST_Reg6.00in,MASE,0.7818181818181817,322.7906976744186,intermittent
ST_Reg6.00in,RMSSE,0.6969696969696969,322.7906976744186,intermittent
ST_Reg6.00in,MASE5,0.29696969696969694,322.7906976744186,intermittent
ST_Reg6.00in,customMAPE,-0.5272727272727272,322.7906976744186,intermittent
ST_VA10cm,MASE,0.5272727272727272,34.883720930232556,intermittent
ST_VA10cm,RMSSE,0.5757575757575757,34.883720930232556,intermittent
ST_VA10cm,MASE5,0.5636363636363636,34.883720930232556,intermittent
ST_VA10cm,customMAPE,0.22532028485964323,34.883720930232556,intermittent
ST_VA7cm,MASE,-0.41818181818181815,3965.1162790697676,intermittent
ST_VA7cm,RMSSE,0.7939393939393938,3965.1162790697676,intermittent
ST_VA7cm,MASE5,0.9030303030303028,3965.1162790697676,intermittent
ST_VA7cm,customMAPE,0.6848484848484848,3965.1162790697676,intermittent
ST_VA7cmbox,MASE,0.4666666666666666,372.09302325581393,intermittent
ST_VA7cmbox,RMSSE,0.5636363636363636,372.09302325581393,intermittent
ST_VA7cmbox,MASE5,0.49090909090909085,372.09302325581393,intermittent
ST_VA7cmbox,customMAPE,0.24580394711961082,372.09302325581393,intermittent
ST_VA7cmrej,MASE,0.28484848484848485,232.5581395348837,intermittent
ST_VA7cmrej,RMSSE,0.4545454545454545,232.5581395348837,intermittent
ST_VA7cmrej,MASE5,0.32121212121212117,232.5581395348837,intermittent
ST_VA7cmrej,customMAPE,0.19800873517968648,232.5581395348837,intermittent
