Unit,Model,SL,z,ratio,lots,markup,term_k,eval_end,fill_rate,cycle_service,avg_oh,avg_bl,total_cost,demand_2024,end_oh,end_pipe
BR_1.0-1.5,arima,0.95,0.0,10,True,-1,0.0,2024-11-01,0.46050706715719186,0.3333333333333333,35089.57691310257,36350.73136029331,4384565.7956763925,500275.0,85293.39100735472,0.0
BR_1.0-1.5,arima,0.95,0.1,10,True,-1,0.0,2024-11-01,0.5785757709952053,0.3333333333333333,48103.99887902297,28159.54638869298,3626694.0904254806,500275.0,113323.99794487545,0.0
BR_1.0-1.5,arima,0.95,0.2,10,True,-1,0.0,2024-11-01,0.596599499569614,0.3333333333333333,49743.42084494338,26793.361417092638,3494447.3851745673,500275.0,116329.6048823962,0.0
BR_1.0-1.5,arima,0.95,0.3,10,True,-1,0.0,2024-11-01,0.7646906910394301,0.5,62217.86206721989,15787.195701848377,2420988.00994274,500275.0,119335.21181991696,0.0
BR_1.0-1.5,arima,0.95,0.4,10,True,-1,0.0,2024-11-01,0.7827144196138386,0.5,68680.52102746036,14694.247724568111,2371852.981004556,500275.0,147365.8187574377,0.0
BR_1.0-1.5,arima,0.95,0.5,10,True,-1,0.0,2024-11-01,0.9002477151465862,0.6666666666666666,81992.5301140569,6800.649873643918,1649989.317355457,500275.0,150371.42569495845,0.0
BR_1.0-1.5,arima,0.95,0.6,10,True,-1,0.0,2024-11-01,0.9062556246713892,0.6666666666666666,84451.66306293754,6254.1758850037795,1616927.6410427287,500275.0,153377.0326324792,0.0
BR_1.0-1.5,arima,0.95,0.7,10,True,-1,0.0,2024-11-01,0.9622860218279945,0.8333333333333334,94293.30869999994,1715.21458454546,1225900.0,500275.0,181407.63956999994,0.0
BR_1.0-1.5,arima,0.95,0.8,10,True,-1,0.0,2024-11-01,0.9682939313527973,0.8333333333333334,110675.67864320063,1441.977590225391,1376050.0,500275.0,184413.2465075207,0.0
BR_1.0-1.5,arima,0.95,0.9,10,True,-1,0.0,2024-11-01,0.9743018408776002,0.8333333333333334,113408.04858640133,1168.740595905322,1376050.0,500275.0,187418.85344504146,0.0
BR_1.0-1.5,arima,0.95,1.0,10,True,-1,0.0,2024-11-01,1.0,1.0,137994.91492801672,0.0,1517944.064208184,500275.0,215449.4603825622,0.0
BR_1.0-1.5,arima,0.95,1.1,10,True,-1,0.0,2024-11-01,1.0,1.0,143275.52186553742,0.0,1576030.7405209118,500275.0,218455.06732008292,0.0
BR_1.0-1.5,arima,0.95,1.2,10,True,-1,0.0,2024-11-01,1.0,1.0,159931.12880305827,0.0,1759242.4168336408,500275.0,221460.6742576037,0.0
BR_1.0-1.5,arima,0.95,1.2816,10,True,-1,0.0,2024-11-01,1.0,1.0,171483.70406407514,0.0,1886320.7447048265,500275.0,248938.2495186206,0.0
BR_1.0-1.5,arima,0.95,1.3,10,True,-1,0.0,2024-11-01,1.0,1.0,172036.73574057897,0.0,1892404.0931463686,500275.0,249491.28119512444,0.0
BR_1.0-1.5,arima,0.95,1.4,10,True,-1,0.0,2024-11-01,1.0,1.0,179592.34267809975,0.0,1975515.7694590972,500275.0,252496.88813264517,0.0
BR_1.0-1.5,arima,0.95,1.5,10,True,-1,0.0,2024-11-01,1.0,1.0,198522.9496156205,0.0,2183752.4457718255,500275.0,255502.49507016595,0.0
BR_1.0-1.5,arima,0.95,1.6,10,True,-1,0.0,2024-11-01,1.0,1.0,206078.5565531412,0.0,2266864.1220845534,500275.0,283533.1020076867,0.0
BR_1.0-1.5,arima,0.95,1.6449,10,True,-1,0.0,2024-11-01,1.0,1.0,216528.07406808806,0.0,2381808.8147489685,500275.0,284882.6195226335,0.0
BR_1.0-1.5,arima,0.95,1.7,10,True,-1,0.0,2024-11-01,1.0,1.0,222734.16349066191,0.0,2450075.798397281,500275.0,286538.7089452074,0.0
BR_1.0-1.5,arima,0.95,1.8,10,True,-1,0.0,2024-11-01,1.0,1.0,237114.77042818273,0.0,2608262.47471001,500275.0,314569.3158827282,0.0
BR_1.0-1.5,arima,0.95,1.9,10,True,-1,0.0,2024-11-01,1.0,1.0,253770.37736570335,0.0,2791474.151022737,500275.0,317574.9228202489,0.0
BR_1.0-1.5,arima,0.95,2.0,10,True,-1,0.0,2024-11-01,1.0,1.0,261325.98430322425,0.0,2874585.8273354666,500275.0,320580.52975776966,0.0
BR_1.0-1.5,arima,0.95,2.0537,10,True,-1,0.0,2024-11-01,1.0,1.0,265214.9952286728,0.0,2917364.947515401,500275.0,322194.5406832183,0.0
BR_1.0-1.5,arima,0.95,2.1,10,True,-1,0.0,2024-11-01,1.0,1.0,280256.591240745,0.0,3082822.503648195,500275.0,348611.13669529045,0.0
BR_1.0-1.5,arima,0.95,2.2,10,True,-1,0.0,2024-11-01,1.0,1.0,287812.1981782657,0.0,3165934.179960923,500275.0,351616.7436328112,0.0
BR_1.0-1.5,arima,0.95,2.3,10,True,-1,0.0,2024-11-01,1.0,1.0,297642.80511578644,0.0,3274070.8562736507,500275.0,354622.3505703319,0.0
BR_1.0-1.5,arima,0.95,2.4,10,True,-1,0.0,2024-11-01,1.0,1.0,318848.4120533071,0.0,3507332.5325863785,500275.0,382652.95750785264,0.0
BR_1.0-1.5,arima,0.95,2.5,10,True,-1,0.0,2024-11-01,1.0,1.0,326404.01899082796,0.0,3590444.2088991078,500275.0,385658.56444537337,0.0
BR_1.0-1.5,arima,0.95,2.6,10,True,-1,0.0,2024-11-01,1.0,1.0,345334.62592834875,0.0,3798680.885211836,500275.0,388664.17138289416,0.0
BR_1.0-1.5,arima,0.95,2.7,10,True,-1,0.0,2024-11-01,1.0,1.0,357440.2328658695,0.0,3931842.561524564,500275.0,416694.7783204149,0.0
BR_1.0-1.5,arima,0.95,2.8,10,True,-1,0.0,2024-11-01,1.0,1.0,369545.83980339015,0.0,4065004.237837292,500275.0,419700.3852579356,0.0
BR_1.0-1.5,arima,0.95,2.9,10,True,-1,0.0,2024-11-01,1.0,1.0,379376.44674091093,0.0,4173140.91415002,500275.0,422705.9921954564,0.0
BR_1.0-1.5,arima,0.95,3.0,10,True,-1,0.0,2024-11-01,1.0,1.0,391482.0536784318,0.0,4306302.59046275,500275.0,450736.5991329772,0.0
BR_1.0-1.5,arima,0.95,3.5,10,True,-1,0.0,2024-11-01,1.0,1.0,465660.08836603543,0.0,5122260.97202639,500275.0,515814.6338205809,0.0
BR_1.0-1.5,arima,0.95,4.0,10,True,-1,0.0,2024-11-01,1.0,1.0,530738.1230536393,0.0,5838119.353590032,500275.0,555867.6685081846,0.0
BR_1.0-1.5,croston,0.95,0.0,10,True,-1,0.0,2024-11-01,0.6334614130057463,0.3333333333333333,41721.34698026359,23999.2563043258,3098853.010258737,500275.0,97451.63613048324,0.0
BR_1.0-1.5,croston,0.95,0.1,10,True,-1,0.0,2024-11-01,0.6830989249929664,0.5,51284.43039109073,20734.870945350754,2844964.5382905807,500275.0,105729.10490028543,0.0
BR_1.0-1.5,croston,0.95,0.2,10,True,-1,0.0,2024-11-01,0.7327364369801865,0.5,56551.910517328484,17724.88230178632,2571808.068887109,500275.0,114006.57367008762,0.0
BR_1.0-1.5,croston,0.95,0.3,10,True,-1,0.0,2024-11-01,0.7823739489674068,0.5,61819.390643566236,14714.89365822189,2298651.599483636,500275.0,122284.0424398898,0.0
BR_1.0-1.5,croston,0.95,0.4,10,True,-1,0.0,2024-11-01,0.821194387925409,0.6666666666666666,67578.82633432145,12196.860579174912,2085021.7533867762,500275.0,130561.51120969199,0.0
BR_1.0-1.5,croston,0.95,0.5,10,True,-1,0.0,2024-11-01,0.8542860625835558,0.6666666666666666,73598.80362145031,9939.369096501587,1902917.440451128,500275.0,138838.97997949418,0.0
BR_1.0-1.5,croston,0.95,0.6,10,True,-1,0.0,2024-11-01,0.8937413397617238,0.6666666666666666,83879.3671585152,7392.463863764297,1735844.06375774,500275.0,147116.44874929637,0.0
BR_1.0-1.5,croston,0.95,0.7,10,True,-1,0.0,2024-11-01,0.9603096647225997,0.8333333333333334,91119.47047190779,1805.0984073546767,1200875.0,500275.0,155393.91751909856,0.0
BR_1.0-1.5,croston,0.95,0.8,10,True,-1,0.0,2024-11-01,0.976855502051673,0.8333333333333334,100919.44208081886,1052.6012464635687,1225900.0,500275.0,163671.38628890074,0.0
BR_1.0-1.5,croston,0.95,0.9,10,True,-1,0.0,2024-11-01,0.9934013393807465,0.8333333333333334,117544.41368972993,300.1040855724608,1326000.0,500275.0,171948.85505870293,0.0
BR_1.0-1.5,croston,0.95,1.0,10,True,-1,0.0,2024-11-01,1.0,1.0,125521.77837395966,0.0,1380739.5621135563,500275.0,180226.32382850512,0.0
BR_1.0-1.5,croston,0.95,1.1,10,True,-1,0.0,2024-11-01,1.0,1.0,133799.24714376192,0.0,1471791.718581381,500275.0,188503.79259830737,0.0
BR_1.0-1.5,croston,0.95,1.2,10,True,-1,0.0,2024-11-01,1.0,1.0,142076.715913564,0.0,1562843.875049204,500275.0,196781.2613681095,0.0
BR_1.0-1.5,croston,0.95,1.2816,10,True,-1,0.0,2024-11-01,1.0,1.0,148831.13042972272,0.0,1637142.4347269498,500275.0,203535.67588426813,0.0
BR_1.0-1.5,croston,0.95,1.3,10,True,-1,0.0,2024-11-01,1.0,1.0,150354.18468336624,0.0,1653896.0315170288,500275.0,205058.73013791174,0.0
BR_1.0-1.5,croston,0.95,1.4,10,True,-1,0.0,2024-11-01,1.0,1.0,158631.65345316843,0.0,1744948.1879848526,500275.0,213336.19890771387,0.0
BR_1.0-1.5,croston,0.95,1.5,10,True,-1,0.0,2024-11-01,1.0,1.0,171459.12222297068,0.0,1886050.3444526773,500275.0,221613.66767751612,0.0
BR_1.0-1.5,croston,0.95,1.6,10,True,-1,0.0,2024-11-01,1.0,1.0,184286.59099277284,0.0,2027152.500920501,500275.0,254916.13644731825,0.0
BR_1.0-1.5,croston,0.95,1.6449,10,True,-1,0.0,2024-11-01,1.0,1.0,192553.17447041397,0.0,2118084.919174554,500275.0,258632.71992495947,0.0
BR_1.0-1.5,croston,0.95,1.7,10,True,-1,0.0,2024-11-01,1.0,1.0,199389.05976257508,0.0,2193279.657388326,500275.0,263193.6052171205,0.0
