Unit,Model,SL,ratio,lots,markup,term_k,eval_end,fill_rate,cycle_service,avg_oh,avg_bl,total_cost,demand_2024,end_oh,end_pipe
BR_1.0-1.5,arima,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,175852.83285195392,0.0,2110233.994223447,525300.0,223913.2495186206,0.0
BR_1.0-1.5,arima,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,175852.83285195392,0.0,2110233.994223447,525300.0,223913.2495186206,0.0
BR_1.0-1.5,arima,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,175852.83285195392,0.0,2110233.994223447,525300.0,223913.2495186206,0.0
BR_1.0-1.5,arima,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,175852.83285195392,0.0,2110233.994223447,525300.0,223913.2495186206,0.0
BR_1.0-1.5,arima,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,175852.83285195392,0.0,2110233.994223447,525300.0,223913.2495186206,0.0
BR_1.0-1.5,arima,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,160634.62716847766,0.0,1927615.526021732,525300.0,204449.5131000398,0.0
BR_1.0-1.5,arima,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,220138.8695226335,0.0,2641666.434271602,525300.0,259857.6195226335,0.0
BR_1.0-1.5,arima,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,220138.8695226335,0.0,2641666.434271602,525300.0,259857.6195226335,0.0
BR_1.0-1.5,arima,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,220138.8695226335,0.0,2641666.434271602,525300.0,259857.6195226335,0.0
BR_1.0-1.5,arima,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,220138.8695226335,0.0,2641666.434271602,525300.0,259857.6195226335,0.0
BR_1.0-1.5,arima,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,220138.8695226335,0.0,2641666.434271602,525300.0,259857.6195226335,0.0
BR_1.0-1.5,arima,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,207233.13395089007,0.0,2486797.607410681,525300.0,247652.54989518417,0.0
BR_1.0-1.5,arima,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,267877.8740165516,0.0,3214534.4881986193,525300.0,297169.5406832183,0.0
BR_1.0-1.5,arima,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,267877.8740165516,0.0,3214534.4881986193,525300.0,297169.5406832183,0.0
BR_1.0-1.5,arima,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,267877.8740165516,0.0,3214534.4881986193,525300.0,297169.5406832183,0.0
BR_1.0-1.5,arima,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,267877.8740165516,0.0,3214534.4881986193,525300.0,297169.5406832183,0.0
BR_1.0-1.5,arima,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,267877.8740165516,0.0,3214534.4881986193,525300.0,297169.5406832183,0.0
BR_1.0-1.5,arima,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,260784.95056051054,0.0,3129419.4067261266,525300.0,296266.37164540443,0.0
BR_1.0-1.5,croston,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,151304.42588426816,0.0,1815653.110611218,525300.0,178510.67588426813,0.0
BR_1.0-1.5,croston,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,151304.42588426816,0.0,1815653.110611218,525300.0,178510.67588426813,0.0
BR_1.0-1.5,croston,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,151304.42588426816,0.0,1815653.110611218,525300.0,178510.67588426813,0.0
BR_1.0-1.5,croston,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,151304.42588426816,0.0,1815653.110611218,525300.0,178510.67588426813,0.0
BR_1.0-1.5,croston,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,151304.42588426816,0.0,1815653.110611218,525300.0,178510.67588426813,0.0
BR_1.0-1.5,croston,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,142968.37936518874,0.0,1715620.5523822648,525300.0,174963.40872905776,0.0
BR_1.0-1.5,croston,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,195974.3865916261,0.0,2351692.639099513,525300.0,233607.71992495947,0.0
BR_1.0-1.5,croston,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,195974.3865916261,0.0,2351692.639099513,525300.0,233607.71992495947,0.0
BR_1.0-1.5,croston,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,195974.3865916261,0.0,2351692.639099513,525300.0,233607.71992495947,0.0
BR_1.0-1.5,croston,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,195974.3865916261,0.0,2351692.639099513,525300.0,233607.71992495947,0.0
BR_1.0-1.5,croston,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,195974.3865916261,0.0,2351692.639099513,525300.0,233607.71992495947,0.0
BR_1.0-1.5,croston,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,182056.48047618265,0.0,2184677.765714192,525300.0,210114.35447812243,0.0
BR_1.0-1.5,croston,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,240239.76225591078,0.0,2882877.1470709294,525300.0,267446.0122559108,0.0
BR_1.0-1.5,croston,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,240239.76225591078,0.0,2882877.1470709294,525300.0,267446.0122559108,0.0
BR_1.0-1.5,croston,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,240239.76225591078,0.0,2882877.1470709294,525300.0,267446.0122559108,0.0
BR_1.0-1.5,croston,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,240239.76225591078,0.0,2882877.1470709294,525300.0,267446.0122559108,0.0
